ID,Cromosoma,Utilidad_estimada,Fitness
1,0111111101,68.81,68.81
2,1011000001,33.07,33.07
3,1000111000,28.22,28.22
4,0100000000,9.22,9.22
5,0100111100,31.5,31.5
6,1011010100,44.87,44.87
7,0010101100,31.48,31.48
8,0010010001,31.9,31.9
9,0111000000,17.59,17.59
10,0110011101,38.7,38.7
11,0110100101,44.68,44.68
12,1100011011,52.97,52.97
13,0000010001,16.77,16.77
14,1011001110,47.91,47.91
15,1101110100,41.5,41.5
16,0111110111,61.75,61.75
17,0010101111,53.54,53.54
18,1000011110,35.53,35.53
19,1001111001,51.49,51.49
20,0101111010,50.94,50.94
